16:02:39.225 [main] INFO  com.kronos.Kronos - Dubugger created
16:02:39.236 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
16:02:39.253 [main] DEBUG com.kronos.Kronos - Loaded Config
16:02:39.254 [main] DEBUG com.kronos.Kronos - Starting OPENGL
16:02:39.302 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
16:02:39.302 [main] DEBUG com.kronos.Kronos - GL Started
16:02:39.305 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
16:02:39.448 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
16:02:39.449 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
16:02:39.450 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
16:02:39.481 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
16:02:39.483 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
16:02:39.483 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
16:02:39.576 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
16:02:39.620 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.654 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.657 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.676 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.678 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.696 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.710 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.728 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.743 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.760 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.777 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.796 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.812 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.829 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.846 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.862 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.878 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.895 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.912 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.929 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.946 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.963 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.977 [main] DEBUG com.kronos.Kronos - GL Error: 1282
16:02:39.994 [main] DEBUG com.kronos.Kronos - GL Error: 1282
