13:07:41.126 [main] INFO  com.kronos.Kronos - Dubugger created
13:07:41.138 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
13:07:41.154 [main] DEBUG com.kronos.Kronos - Loaded Config
13:07:41.155 [main] DEBUG com.kronos.Kronos - Starting OPENGL
13:07:41.203 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
13:07:41.203 [main] DEBUG com.kronos.Kronos - GL Started
13:07:41.206 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
13:07:41.350 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:07:41.351 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:07:41.352 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:07:41.396 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:07:41.397 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:07:41.397 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:07:41.449 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:07:41.637 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.682 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.688 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.709 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.721 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.754 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.760 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.778 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.788 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.806 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.821 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.840 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.855 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.872 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.889 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.905 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.922 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.939 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.955 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.972 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:41.988 [main] DEBUG com.kronos.Kronos - GL Error: 1282
