13:11:38.040 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:11:38.043 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:11:38.044 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:11:38.089 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:11:38.089 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:11:38.089 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:11:38.138 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:11:38.333 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.395 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.404 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.411 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.427 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.458 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.464 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.476 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.493 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.510 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.526 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.543 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.561 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.576 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.594 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.610 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.627 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.643 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.661 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.677 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.695 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.711 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.728 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.744 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.761 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.777 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.793 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.811 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.826 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.843 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.860 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.876 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.894 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.909 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.926 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.944 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.961 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.976 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:11:38.993 [main] DEBUG com.kronos.Kronos - GL Error: 1282
