13:07:14.051 [main] INFO  com.kronos.Kronos - Dubugger created
13:07:14.062 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
13:07:14.078 [main] DEBUG com.kronos.Kronos - Loaded Config
13:07:14.079 [main] DEBUG com.kronos.Kronos - Starting OPENGL
13:07:14.126 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
13:07:14.126 [main] DEBUG com.kronos.Kronos - GL Started
13:07:14.129 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
13:07:14.295 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:07:14.296 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:07:14.296 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:07:14.338 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:07:14.342 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:07:14.342 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:07:14.394 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:07:14.591 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.643 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.652 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.665 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.672 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.703 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.709 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.726 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.734 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.751 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.768 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.785 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.800 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.818 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.834 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.852 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.869 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.885 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.901 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.918 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.934 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.951 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.967 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:07:14.985 [main] DEBUG com.kronos.Kronos - GL Error: 1282
