12:43:05.195 [main] INFO  com.kronos.Kronos - Dubugger created
12:43:05.206 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
12:43:05.224 [main] DEBUG com.kronos.Kronos - Loaded Config
12:43:05.224 [main] DEBUG com.kronos.Kronos - Starting OPENGL
12:43:05.272 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
12:43:05.272 [main] DEBUG com.kronos.Kronos - GL Started
12:43:05.275 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
12:43:05.432 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:43:05.433 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:43:05.434 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:43:05.478 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
12:43:05.480 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
12:43:05.480 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
12:43:05.529 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
12:43:05.694 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.766 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.771 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.788 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.800 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.834 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.844 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.858 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.867 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.886 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.900 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.918 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.935 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.951 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.968 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:05.986 [main] DEBUG com.kronos.Kronos - GL Error: 1282
