13:24:26.139 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:24:26.142 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:24:26.142 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:24:26.187 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:24:26.188 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:24:26.188 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:24:26.229 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:24:26.404 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.466 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.474 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.495 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.503 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.532 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.538 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.554 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.568 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.587 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.600 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.617 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.637 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.652 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.667 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.685 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.701 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.720 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.734 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.752 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.767 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.785 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.800 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.818 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.834 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.851 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.867 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.884 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.901 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.918 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.934 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.951 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.967 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:24:26.985 [main] DEBUG com.kronos.Kronos - GL Error: 1282
