12:53:28.003 [main] INFO  com.kronos.Kronos - Dubugger created
12:53:28.014 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
12:53:28.032 [main] DEBUG com.kronos.Kronos - Loaded Config
12:53:28.032 [main] DEBUG com.kronos.Kronos - Starting OPENGL
12:53:28.081 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
12:53:28.082 [main] DEBUG com.kronos.Kronos - GL Started
12:53:28.084 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
12:53:28.237 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:53:28.238 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:53:28.239 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:53:28.282 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
12:53:28.283 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
12:53:28.283 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
12:53:28.338 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
12:53:28.442 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.494 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.500 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.509 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.527 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.544 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.564 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.579 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.594 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.609 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.628 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.642 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.660 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.676 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.694 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.710 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.727 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.743 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.760 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.776 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.793 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.810 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.826 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.843 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.859 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.876 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.894 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.910 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.927 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.943 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.960 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.976 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:53:28.992 [main] DEBUG com.kronos.Kronos - GL Error: 1282
