12:52:02.012 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
12:52:02.013 [main] DEBUG com.kronos.Kronos - GL Started
12:52:02.016 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
12:52:02.165 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:52:02.167 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:52:02.167 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:52:02.211 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
12:52:02.212 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
12:52:02.212 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
12:52:02.268 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
12:52:02.420 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.484 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.490 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.507 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.525 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.556 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.566 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.573 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.590 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.607 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.624 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.641 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.658 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.673 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.691 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.707 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.725 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.740 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.758 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.773 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.791 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.808 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.826 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.840 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.857 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.874 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.891 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.907 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.924 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.940 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.957 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.973 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:52:02.991 [main] DEBUG com.kronos.Kronos - GL Error: 1282
