14:45:43.025 [main] INFO  com.kronos.Kronos - Dubugger created
14:45:43.036 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
14:45:43.052 [main] DEBUG com.kronos.Kronos - Loaded Config
14:45:43.052 [main] DEBUG com.kronos.Kronos - Starting OPENGL
14:45:43.100 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
14:45:43.100 [main] DEBUG com.kronos.Kronos - GL Started
14:45:43.103 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
14:45:43.264 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
14:45:43.265 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
14:45:43.265 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
14:45:43.299 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
14:45:43.302 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
14:45:43.302 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
14:45:43.390 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
14:45:43.553 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.605 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.611 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.632 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.645 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.671 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.678 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.695 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.712 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.728 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.747 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.762 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.784 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.796 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.814 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.828 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.846 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.862 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.880 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.896 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.913 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.929 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.946 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.963 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.980 [main] DEBUG com.kronos.Kronos - GL Error: 1282
14:45:43.995 [main] DEBUG com.kronos.Kronos - GL Error: 1282
