15:53:19.009 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
15:53:19.028 [main] DEBUG com.kronos.Kronos - Loaded Config
15:53:19.028 [main] DEBUG com.kronos.Kronos - Starting OPENGL
15:53:19.075 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
15:53:19.075 [main] DEBUG com.kronos.Kronos - GL Started
15:53:19.077 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
15:53:19.239 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
15:53:19.240 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
15:53:19.241 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
15:53:19.272 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
15:53:19.275 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
15:53:19.275 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
15:53:19.365 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
15:53:19.411 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.450 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.455 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.470 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.489 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.503 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.521 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.536 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.554 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.570 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.586 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.603 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.622 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.635 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.653 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.668 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.685 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.701 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.718 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.736 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.753 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.769 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.786 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.802 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.820 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.835 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.851 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.869 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.886 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.904 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.920 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.936 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.953 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.970 [main] DEBUG com.kronos.Kronos - GL Error: 1282
15:53:19.987 [main] DEBUG com.kronos.Kronos - GL Error: 1282
