13:26:31.005 [main] INFO  com.kronos.Kronos - Dubugger created
13:26:31.016 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
13:26:31.033 [main] DEBUG com.kronos.Kronos - Loaded Config
13:26:31.033 [main] DEBUG com.kronos.Kronos - Starting OPENGL
13:26:31.083 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
13:26:31.084 [main] DEBUG com.kronos.Kronos - GL Started
13:26:31.086 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
13:26:31.241 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:26:31.242 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:26:31.243 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:26:31.273 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:26:31.275 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:26:31.276 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:26:31.366 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:26:31.536 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.598 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.605 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.625 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.640 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.672 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.678 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.696 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.704 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.722 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.739 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.758 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.772 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.789 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.805 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.822 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.838 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.855 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.871 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.888 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.904 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.921 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.938 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.955 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.972 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:26:31.989 [main] DEBUG com.kronos.Kronos - GL Error: 1282
