12:43:57.017 [main] INFO  com.kronos.Kronos - Dubugger created
12:43:57.028 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
12:43:57.045 [main] DEBUG com.kronos.Kronos - Loaded Config
12:43:57.045 [main] DEBUG com.kronos.Kronos - Starting OPENGL
12:43:57.095 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
12:43:57.095 [main] DEBUG com.kronos.Kronos - GL Started
12:43:57.098 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
12:43:57.249 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:43:57.250 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:43:57.250 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
12:43:57.294 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
12:43:57.297 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
12:43:57.297 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
12:43:57.348 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
12:43:57.504 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.551 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.557 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.574 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.588 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.622 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.631 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.646 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.654 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.671 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.688 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.706 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.720 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.738 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.755 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.774 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.786 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.804 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.819 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.837 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.853 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.871 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.887 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.903 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.921 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.937 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.954 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.971 [main] DEBUG com.kronos.Kronos - GL Error: 1282
12:43:57.987 [main] DEBUG com.kronos.Kronos - GL Error: 1282
