13:04:04.173 [main] INFO  com.kronos.Kronos - Dubugger created
13:04:04.184 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
13:04:04.200 [main] DEBUG com.kronos.Kronos - Loaded Config
13:04:04.200 [main] DEBUG com.kronos.Kronos - Starting OPENGL
13:04:04.248 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
13:04:04.248 [main] DEBUG com.kronos.Kronos - GL Started
13:04:04.251 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[900], Height=[900], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131076=0, 131075=1}]}
13:04:04.412 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:04:04.413 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:04:04.414 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
13:04:04.456 [main] DEBUG com.kronos.Kronos - Shaders Loaded:
13:04:04.460 [main] DEBUG com.kronos.Kronos - Shader: texture, status? 
13:04:04.460 [main] DEBUG com.kronos.Kronos - Shader: pp_tex, status? 
13:04:04.511 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
13:04:04.695 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.738 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.746 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.753 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.769 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.798 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.803 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.816 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.833 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.850 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.866 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.883 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.901 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.917 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.937 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.951 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.968 [main] DEBUG com.kronos.Kronos - GL Error: 1282
13:04:04.984 [main] DEBUG com.kronos.Kronos - GL Error: 1282
