18:50:42.142 [main] INFO  com.kronos.Kronos - Dubugger created
18:50:42.169 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
18:50:42.169 [main] DEBUG com.kronos.Kronos - Starting OPENGL
18:50:42.248 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
18:50:42.248 [main] DEBUG com.kronos.Kronos - GL Started
18:50:42.263 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[500], Height=[500], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
18:50:42.587 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
18:50:42.622 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
18:50:42.626 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.642 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.658 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.676 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.692 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.708 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.724 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.740 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.759 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.775 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.790 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.809 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.825 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.841 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.858 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.875 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.891 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.908 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.923 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.940 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.958 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.975 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:42.991 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
