19:57:16.029 [main] INFO  com.kronos.Kronos - Status: 36053 
19:57:16.038 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
19:57:16.042 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.044 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.094 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.094 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.129 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.129 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.159 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.160 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.188 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.188 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.217 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.217 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.245 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.245 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.274 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.274 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.302 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.302 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.330 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.330 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.359 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.360 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.385 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.385 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.412 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.412 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.440 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.441 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.468 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.468 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.502 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.502 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.530 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.530 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.558 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.558 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.588 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.589 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.615 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.615 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.640 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.641 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.664 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.664 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.688 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.688 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.712 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.712 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.738 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.738 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.762 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.762 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.787 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.788 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.811 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.811 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.835 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.835 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.863 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.863 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.893 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.893 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.919 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.919 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.943 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.944 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.967 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.967 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:57:16.991 [main] ERROR com.kronos.Kronos - Uniform pixelation not found in shader.
19:57:16.991 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
