18:11:10.354 [main] INFO  com.kronos.Kronos - Status: 36053 
18:11:10.360 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
18:11:10.364 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.367 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.409 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.410 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.437 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.437 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.464 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.464 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.491 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.491 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.520 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.520 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.544 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.544 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.566 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.567 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.590 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.591 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.614 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.615 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.640 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.640 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.662 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.662 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.686 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.686 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.710 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.710 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.735 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.735 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.761 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.761 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.783 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.784 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.809 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.809 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.833 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.833 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.857 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.858 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
18:11:10.885 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
18:11:10.886 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
