19:58:24.286 [main] INFO  com.kronos.Kronos - Status: 36053 
19:58:24.299 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
19:58:24.303 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.305 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.344 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.345 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.371 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.372 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.400 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.401 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.429 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.429 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.452 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.453 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.479 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.479 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.501 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.502 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.525 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.525 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.547 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.547 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.568 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.569 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.590 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.590 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.612 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.612 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.633 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.633 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.654 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.655 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.677 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.678 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.700 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.701 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.725 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.725 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.748 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.749 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.774 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.775 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.799 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.799 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.822 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.823 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.845 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.845 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.869 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.869 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.892 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.892 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.913 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.914 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.938 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.938 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.962 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.962 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
19:58:24.987 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
19:58:24.987 [main] ERROR com.kronos.Kronos - Uniform view not found in shader.
