17:36:44.027 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
17:36:44.028 [main] DEBUG com.kronos.Kronos - GL Started
17:36:44.048 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[500], Height=[500], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
17:36:44.548 [main] INFO  com.kronos.Kronos - Status: 36053 
17:36:44.551 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
17:36:44.596 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.632 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.668 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.699 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.729 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.756 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.781 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.809 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.837 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.861 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.886 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.910 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.935 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.961 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
17:36:44.988 [main] ERROR com.kronos.Kronos - Uniform tex not found in shader.
