18:50:00.069 [main] INFO  com.kronos.Kronos - Dubugger created
18:50:00.094 [main] INFO  com.kronos.Kronos - Path Already Exists: /kronos/out Skipping
18:50:00.094 [main] DEBUG com.kronos.Kronos - Starting OPENGL
18:50:00.172 [main] DEBUG com.kronos.Kronos - GL Version: 3.4.0 Win32 WGL Null EGL OSMesa VisualC DLL 
18:50:00.172 [main] DEBUG com.kronos.Kronos - GL Started
18:50:00.189 [main] INFO  com.kronos.Kronos - Set Current ScreenConfig to {Width=[500], Height=[500], Title=[KronosTesting], ClearColor=[Color [r=1.0, g=1.0, b=1.0, a=1.0]], UpdateTime=[60], Hints=[{131075=1, 131076=0}]}
18:50:00.556 [main] INFO  com.kronos.Kronos - Frame Buffer Status Status: 36053 
18:50:00.598 [main] DEBUG com.kronos.Kronos - Color Color [r=1.0, g=1.0, b=1.0, a=1.0] 
18:50:00.603 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.618 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.634 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.651 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.667 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.684 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.699 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.716 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.734 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.751 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.768 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.785 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.801 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.819 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.833 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.853 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.867 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.886 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.902 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.918 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.933 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.950 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.967 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
18:50:00.984 [main] ERROR com.kronos.Kronos - Uniform use not found in shader.
